#{"t_start": 1753994805.9193542, "env_id": "myoHandWheelHoldFixed-v0"}
r,l,t
164.35589,75,2.999698
190.267413,75,4.286418
230.496691,75,5.523533
178.143977,75,6.782393
230.50548,75,8.351458
174.928258,75,10.245969
210.439939,75,11.870023
183.891864,75,13.902314
169.34943,75,16.188956
177.011766,75,18.356807
212.651923,75,20.526534
182.533194,75,22.658248
171.035065,75,24.624093
176.520458,75,26.687903
174.468297,75,28.647549
193.241152,75,30.791184
188.308164,75,32.783324
176.813317,75,34.831206
207.647326,75,37.104259
161.300798,75,39.175514
174.317774,75,41.649705
180.881807,75,44.316429
189.407862,75,46.715281
173.445815,75,49.993863
184.658682,75,52.87183
211.917493,75,55.187462
176.878614,75,57.479636
236.905861,75,107.065565
169.359228,75,108.335962
182.802556,75,109.719779
187.198354,75,111.1431
178.555042,75,112.632228
183.100145,75,114.010867
193.349386,75,115.179616
184.472651,75,116.396795
189.237936,75,117.525121
171.617275,75,118.655784
208.995958,75,119.892852
164.739997,75,121.392341
173.35601,75,122.749867
182.875637,75,124.032157
186.388621,75,125.327063
202.030474,75,126.594363
210.53528,75,127.823399
164.669847,75,129.135517
179.288548,75,130.560446
182.588196,75,131.97976
175.516067,75,133.242009
173.728779,75,134.437296
184.403571,75,135.695692
169.894698,75,137.105936
174.871816,75,138.369168
209.691219,75,139.634541
187.773913,75,140.902926
175.880612,75,180.349239
183.455467,75,182.292776
170.68681,75,184.166688
182.136903,75,186.175133
187.322844,75,188.179859
197.427695,75,189.937114
158.45593,75,191.846464
187.822202,75,193.795823
191.165962,75,195.682194
187.934879,75,197.540876
191.77543,75,199.447144
166.372139,75,201.367743
197.542486,75,203.189331
170.440154,75,205.29891
191.920874,75,207.204889
187.135945,75,209.094549
167.450851,75,210.864843
164.534005,75,212.736098
239.209177,75,214.510998
174.58463,75,216.586842
210.539616,75,218.452715
218.817292,75,220.468837
185.800813,75,222.317101
184.520174,75,224.221569
186.03656,75,226.174001
175.080591,75,228.030511
163.846409,75,229.818783
176.506785,75,246.755927
171.765949,75,247.807138
188.632463,75,249.879901
193.807268,75,251.670785
162.938056,75,253.557156
231.127749,75,255.474916
178.606991,75,257.308158
215.130863,75,259.222798
251.87736,75,261.098566
164.550984,75,262.908043
167.393996,75,264.976343
174.734507,75,266.92964
172.763711,75,269.15149
224.447462,75,271.094662
175.29905,75,272.960239
178.68424,75,274.834788
160.50969,75,276.69638
178.088377,75,278.662822
224.760215,75,280.716997
183.490114,75,282.640845
178.981632,75,284.503399
172.473775,75,286.601517
228.50102,75,288.464109
173.718096,75,290.258131
231.097483,75,292.269317
203.852441,75,294.148758
183.784057,75,296.274851
161.335823,75,298.111553
168.956423,75,339.007003
181.757065,75,340.155751
175.216963,75,341.241902
200.571536,75,342.34794
189.700013,75,343.526155
215.818541,75,344.840478
186.229353,75,346.093523
184.614099,75,347.395312
194.142815,75,348.683893
214.401686,75,349.94862
187.2604,75,351.198522
198.583558,75,352.38434
182.991192,75,353.561549
185.767995,75,354.827992
186.571876,75,356.05815
174.482852,75,357.2573
175.45757,75,358.420003
255.214755,75,359.674936
173.162486,75,360.97526
197.876961,75,362.244932
195.217297,75,363.399357
185.895168,75,364.609928
206.887022,75,365.847707
189.307283,75,367.218562
269.538111,75,368.883263
212.425812,75,370.147824
191.868332,75,371.365501
196.155723,75,372.578973
198.110333,75,454.464296
192.057981,75,474.17912
235.466516,75,476.101484
183.838778,75,478.118745
171.116666,75,479.941781
256.105789,75,481.506531
178.232848,75,483.263582
199.367051,75,485.651211
173.767559,75,487.858831
231.211328,75,489.74862
190.350952,75,491.494569
191.841892,75,493.164797
189.42522,75,494.843169
214.047011,75,496.567026
176.300624,75,498.554472
221.511057,75,500.565854
180.543214,75,502.342622
187.442052,75,504.095593
184.441473,75,505.942422
188.216619,75,507.585451
183.307556,75,508.588441
210.738945,75,509.556625
193.571603,75,510.714154
177.783366,75,511.73397
167.322751,75,512.731038
222.606979,75,513.710063
193.510578,75,514.666177
227.078824,75,533.737507
252.24691,75,535.500707
217.392443,75,537.190528
219.644647,75,538.932566
243.376527,75,540.732256
208.512016,75,542.394108
267.822664,75,543.993481
203.951,75,545.662838
220.710812,75,547.331107
267.745072,75,549.127421
187.06257,75,550.684003
189.547655,75,552.251656
257.809035,75,554.060611
197.978462,75,555.845877
194.221224,75,557.562945
233.21667,75,559.147872
208.403844,75,560.856754
179.299332,75,562.59497
178.077703,75,564.196129
174.706848,75,565.928559
261.678349,75,567.618934
202.555478,75,569.571774
222.198729,75,571.202875
222.70966,75,573.0107
173.863023,75,574.737805
182.20356,75,576.464321
186.170325,75,578.251958
200.081243,75,610.388938
225.277927,75,611.561861
226.897338,75,612.89284
176.667932,75,614.231422
200.164794,75,615.587528
188.600982,75,616.92576
188.433203,75,618.3932
210.961255,75,619.77229
207.455046,75,621.113618
239.016895,75,622.558287
199.662047,75,623.965101
215.060976,75,625.328306
267.368981,75,626.77121
212.631535,75,628.211035
184.983486,75,629.602845
182.716066,75,631.197743
185.561421,75,632.600697
171.006689,75,633.990348
218.204598,75,635.666891
199.9277,75,637.209179
185.390736,75,638.630398
235.083106,75,640.321715
188.049865,75,642.682138
207.308086,75,644.967421
267.460512,75,647.123377
255.789856,75,649.27559
178.992092,75,651.541377
167.29166,75,653.64671
268.502605,75,701.479947
186.263318,75,703.493503
233.888448,75,705.522646
243.774464,75,707.553354
191.462224,75,709.539432
193.095951,75,711.539912
243.119515,75,713.54136
116.885633,75,715.775092
193.411425,75,717.858159
249.107604,75,719.736614
267.356021,75,721.780238
191.88397,75,723.730411
176.802005,75,725.69358
259.7841,75,727.340032
267.670596,75,728.636514
178.572571,75,729.881767
182.140324,75,731.075632
212.757271,75,732.264621
189.00381,75,733.443728
196.191352,75,734.648027
218.645117,75,735.839882
192.093998,75,737.049804
184.164514,75,738.336528
266.360414,75,739.545613
217.094791,75,740.788174
175.031379,75,741.957915
268.556621,75,743.162101
267.681159,75,770.227731
204.581728,75,772.173791
243.461789,75,774.071868
197.810956,75,776.129157
202.201083,75,778.079634
222.845518,75,779.999924
184.948533,75,782.023679
177.847672,75,783.926134
212.293951,75,785.865403
242.10818,75,787.829301
268.851982,75,790.039626
268.42197,75,792.259359
191.109325,75,794.326611
236.441444,75,796.459295
216.812743,75,798.427996
182.90176,75,800.450856
269.004189,75,802.431582
258.027332,75,804.497217
223.032058,75,806.564263
224.3984,75,808.541744
268.664262,75,810.52969
271.565696,75,813.085348
268.208532,75,815.106733
218.005902,75,817.118665
268.320761,75,819.052453
177.674605,75,820.924972
246.183155,75,823.039629
267.745832,75,824.995495
182.153092,75,853.606103
227.047328,75,854.859391
223.060823,75,855.973874
192.730862,75,857.122997
184.954819,75,858.276232
231.087822,75,859.464576
184.601163,75,860.629595
267.697542,75,861.906593
213.175734,75,863.080584
267.775515,75,864.316423
267.706802,75,865.475653
267.821864,75,866.656017
195.694092,75,867.880597
226.710696,75,869.076404
211.456523,75,870.281279
259.991375,75,871.484931
243.293442,75,872.679009
268.146454,75,874.273407
267.173462,75,876.319042
255.212076,75,878.311113
268.154113,75,880.354762
268.146506,75,882.279071
247.194964,75,884.349856
268.569982,75,886.221351
268.794382,75,888.087066
255.781251,75,889.914166
239.178797,75,891.868043
259.298082,75,948.226179
239.254423,75,952.839277
267.924811,75,958.925245
267.862261,75,965.47527
269.20733,75,972.965198
267.544105,75,980.507782
268.305124,75,988.491776
267.94595,75,996.311536
241.053763,75,1005.341552
209.017491,75,1011.406049
229.289923,75,1015.886528
248.131492,75,1020.324474
187.399479,75,1024.285991
179.327177,75,1028.690068
251.684679,75,1032.845693
267.273344,75,1037.16823
239.766062,75,1040.692975
268.338087,75,1044.344614
268.809141,75,1047.590089
256.012839,75,1050.67607
213.556127,75,1054.059699
268.442267,75,1056.770562
224.958627,75,1059.689339
268.773409,75,1062.343643
269.031896,75,1065.372726
268.132925,75,1067.832274
200.5478,75,1070.384899
269.378967,75,1072.873393
268.29376,75,1125.561096
267.525528,75,1129.159083
167.667307,75,1132.590412
265.779695,75,1135.935107
267.7096,75,1139.265836
268.141928,75,1142.58803
267.732704,75,1145.881204
268.006031,75,1149.352775
220.919949,75,1152.962487
269.132236,75,1156.49785
268.526201,75,1159.84978
241.00584,75,1163.409598
269.307111,75,1166.911404
268.599901,75,1170.407877
267.326343,75,1174.072485
268.222454,75,1177.457917
267.894207,75,1180.957516
267.794494,75,1184.396974
260.331673,75,1187.766336
268.613221,75,1191.285811
192.393462,75,1194.666455
202.614556,75,1198.075902
267.689952,75,1201.550347
249.616838,75,1204.679332
178.142608,75,1208.146909
267.817314,75,1211.328625
268.318997,75,1214.766798
269.534114,75,1259.948249
221.328023,75,1262.436794
268.537812,75,1264.697022
267.436906,75,1268.067857
255.762406,75,1270.229925
198.744158,75,1272.936397
267.985946,75,1275.524065
249.741409,75,1278.333634
256.081934,75,1280.899172
202.604678,75,1283.42899
268.000725,75,1285.898313
247.202536,75,1288.503595
268.618238,75,1291.650262
268.755642,75,1296.568981
268.49583,75,1300.877413
268.058136,75,1304.530038
268.894046,75,1309.421369
267.898418,75,1311.891174
268.530663,75,1314.17105
269.030298,75,1316.895871
268.994845,75,1319.380561
269.602846,75,1321.540441
267.729743,75,1323.835423
221.834162,75,1326.381251
269.080474,75,1328.461841
231.188587,75,1331.005314
268.940543,75,1333.046321
268.174759,75,1353.92433
268.044938,75,1356.018994
267.878161,75,1358.102276
268.621667,75,1360.430433
263.998853,75,1362.730551
268.692248,75,1364.849781
251.090203,75,1367.116971
267.670562,75,1369.130155
268.086514,75,1371.218031
267.881696,75,1373.501925
202.994412,75,1375.502313
268.177893,75,1378.058265
268.578227,75,1380.038942
268.659307,75,1382.113645
171.899924,75,1384.341918
269.189945,75,1386.365338
242.03046,75,1388.699262
269.932708,75,1390.881001
269.529396,75,1393.613096
245.666178,75,1396.163702
268.181563,75,1397.991717
268.958065,75,1400.313286
268.560111,75,1402.188196
219.252213,75,1404.171169
268.627265,75,1406.720571
256.249946,75,1408.595239
267.294812,75,1410.73307
268.448629,75,1413.147386
269.549382,75,1434.013188
261.247086,75,1436.287834
268.662784,75,1438.300831
268.675268,75,1440.784966
267.552278,75,1443.174667
268.213644,75,1445.230547
268.273356,75,1447.866755
269.181716,75,1450.107688
268.512445,75,1452.178589
202.638626,75,1454.83532
264.228054,75,1457.021844
267.508773,75,1459.205435
268.65722,75,1462.122134
268.463877,75,1464.274557
269.13234,75,1466.618054
269.509528,75,1468.872857
269.426618,75,1471.026326
253.870423,75,1473.427524
268.250542,75,1475.519009
269.118029,75,1477.637602
268.648886,75,1480.281213
258.387524,75,1482.6646
268.768565,75,1484.797649
268.422138,75,1486.986714
258.751249,75,1488.961863
267.68947,75,1491.597417
269.031702,75,1493.757689
263.706815,75,1515.143618
269.019554,75,1517.689292
269.922018,75,1519.632799
268.425872,75,1521.748022
268.890199,75,1524.592378
258.031239,75,1526.738335
268.611627,75,1528.960193
269.4102,75,1531.409514
268.212437,75,1533.603454
268.056833,75,1535.699371
269.043239,75,1538.177455
268.894936,75,1540.468441
268.11014,75,1542.725493
251.987384,75,1545.065357
237.263579,75,1547.184674
268.445254,75,1549.165341
266.379055,75,1551.068539
269.233323,75,1553.076664
269.51978,75,1554.920023
269.989493,75,1557.083142
269.330647,75,1558.715727
268.173457,75,1560.595348
268.437082,75,1562.436091
268.490356,75,1564.125457
268.966782,75,1566.053847
268.983437,75,1567.952328
268.620646,75,1569.387399
268.452609,75,1570.857956
261.822502,75,1589.445411
197.617759,75,1591.253476
268.124154,75,1593.056335
270.123059,75,1594.585086
268.791666,75,1596.116101
268.106381,75,1597.79681
270.094317,75,1599.577725
268.494523,75,1600.971994
269.476174,75,1602.354402
267.831372,75,1604.018744
256.289318,75,1605.601562
243.93297,75,1607.359368
268.705053,75,1609.243844
269.093999,75,1611.125952
268.793699,75,1612.813445
269.738755,75,1614.324919
269.139601,75,1615.682036
268.685131,75,1617.23634
267.197807,75,1618.898385
269.236946,75,1620.582273
268.931514,75,1622.434912
268.382855,75,1624.480649
268.914657,75,1626.055429
268.704994,75,1627.426763
269.10367,75,1629.006222
194.822118,75,1630.694176
268.383987,75,1632.015946
268.678835,75,1648.824407
269.245516,75,1650.603323
268.822408,75,1652.248008
268.923543,75,1654.016486
269.551502,75,1655.663679
268.537452,75,1657.124474
268.93482,75,1658.798075
267.843263,75,1660.823175
268.736782,75,1662.403724
259.44269,75,1664.041124
268.794828,75,1665.96343
257.169906,75,1667.426638
268.259703,75,1669.513681
267.876149,75,1671.363685
253.013741,75,1672.867254
268.574431,75,1674.308135
268.730788,75,1676.007396
269.007687,75,1677.532398
269.59914,75,1679.012354
268.989152,75,1680.99451
251.941472,75,1682.484372
251.635711,75,1684.184636
268.795354,75,1685.721621
269.992677,75,1687.290989
268.279771,75,1689.310828
268.873403,75,1691.117111
267.912689,75,1692.571124
268.73447,75,1712.212145
268.28974,75,1714.31626
268.677846,75,1716.309671
268.900876,75,1718.046203
268.920785,75,1720.114594
269.367062,75,1722.347663
233.94109,75,1724.300283
262.726395,75,1725.98699
264.138232,75,1727.849602
268.348233,75,1729.704748
269.198377,75,1731.634896
268.390511,75,1733.409992
268.116584,75,1735.288575
268.27688,75,1737.123482
268.254005,75,1739.092653
268.339004,75,1741.285359
267.900177,75,1743.12088
269.519135,75,1744.940139
267.838188,75,1746.598228
269.128067,75,1748.122334
269.26159,75,1750.112182
268.978076,75,1752.116706
268.486997,75,1753.973585
269.000766,75,1755.681888
267.927616,75,1757.109179
268.474408,75,1759.060403
268.842525,75,1760.865805
245.726428,75,1762.388095
269.058739,75,1781.871786
269.066419,75,1783.4841
268.462418,75,1784.936424
268.073639,75,1786.874818
268.419158,75,1788.675341
268.577733,75,1790.286041
269.381065,75,1791.833051
268.444542,75,1793.740663
269.011046,75,1795.497515
268.915894,75,1796.978062
268.97985,75,1798.905149
269.03604,75,1800.747393
245.666919,75,1802.619944
268.26539,75,1804.158741
268.871941,75,1806.037565
268.374348,75,1807.921729
268.757967,75,1809.935663
268.893001,75,1812.138859
269.00858,75,1813.595175
268.841494,75,1815.11506
268.551149,75,1816.968195
269.557322,75,1818.713741
268.348663,75,1820.187536
267.932477,75,1821.838321
268.282791,75,1823.71958
252.202442,75,1825.531746
269.031415,75,1827.09729
267.925927,75,1828.696665
268.711256,75,1847.703593
