#{"t_start": 1754081320.9409459, "env_id": "myoHandWheelHoldFixed-v0_left"}
r,l,t
279.21633,75,1.926975
279.671483,75,2.898267
279.805312,75,3.863861
280.087288,75,4.782502
280.186876,75,5.680898
279.71803,75,6.624126
279.920478,75,7.56452
279.688186,75,8.503329
279.665652,75,9.386287
279.880411,75,10.381137
280.06142,75,11.333509
280.124185,75,12.390811
279.76582,75,13.394336
279.730649,75,14.468243
279.382244,75,15.549816
279.763039,75,16.596079
279.584252,75,17.635279
279.569476,75,18.581964
279.443705,75,19.49641
279.954214,75,20.440022
279.857024,75,21.553959
279.721435,75,22.580642
280.298702,75,23.463337
279.788833,75,24.417961
280.070702,75,25.484865
280.007634,75,26.415175
279.716967,75,27.359001
279.976751,75,36.329386
280.717355,75,37.188815
280.337088,75,38.046767
280.792712,75,38.902199
280.91594,75,39.762174
281.501741,75,40.805899
280.884291,75,41.808869
280.228798,75,42.844205
281.129145,75,43.829066
280.176754,75,44.878564
280.778409,75,45.934059
281.103312,75,47.06873
280.535404,75,48.068593
281.530415,75,48.968653
280.862471,75,50.018998
280.722319,75,51.065024
280.982603,75,51.988357
281.051188,75,52.998309
280.868804,75,54.03209
280.529137,75,54.929419
281.159549,75,55.835648
280.739289,75,56.884172
281.08976,75,57.902706
280.685416,75,58.811148
281.048122,75,59.739775
281.057723,75,60.636993
280.652754,75,61.538795
280.379029,75,70.466821
279.036051,75,71.337409
279.894925,75,72.203183
278.37853,75,73.179234
278.742599,75,74.100725
278.597344,75,75.001214
279.187645,75,75.964615
278.430364,75,76.897407
278.956489,75,77.810748
278.414533,75,78.821844
278.611467,75,79.733146
278.567484,75,80.66849
278.925088,75,81.595988
278.513954,75,82.78871
278.328089,75,83.857655
278.608151,75,84.816182
278.63745,75,86.037022
278.515809,75,87.052218
278.538598,75,88.142392
278.845598,75,89.243683
278.578065,75,90.242471
278.831818,75,91.244515
278.405076,75,92.159097
279.017971,75,93.084225
278.733601,75,94.05531
278.741723,75,95.180087
278.659212,75,96.116968
278.799699,75,105.307732
278.923982,75,106.347928
279.319446,75,107.448445
279.376592,75,108.359329
279.281292,75,109.265787
279.273227,75,110.160524
279.279288,75,111.079172
279.067279,75,111.984756
279.23826,75,112.939129
279.277918,75,113.933891
279.960774,75,115.020151
279.393938,75,116.028306
279.077342,75,117.015285
279.332179,75,117.925002
279.107937,75,118.838514
278.697198,75,119.740274
279.182812,75,120.814585
279.0304,75,121.812327
279.472298,75,122.693415
278.989195,75,123.575431
279.238905,75,124.508609
279.035792,75,125.599656
278.968421,75,126.642994
279.034321,75,127.557529
279.099465,75,128.454277
279.004567,75,129.348314
279.347441,75,130.299386
279.405108,75,131.372297
279.158874,75,140.585601
278.574967,75,141.547096
278.910745,75,142.646853
278.96439,75,143.545473
278.476481,75,144.440019
278.97574,75,145.332509
278.607823,75,146.307434
278.517082,75,147.458572
278.603544,75,148.354577
279.088234,75,149.253951
278.734609,75,150.162653
279.062105,75,151.095293
278.665695,75,152.094671
278.685536,75,153.126549
278.949124,75,154.243031
278.471234,75,158.678713
278.712104,75,159.626976
278.705671,75,160.586834
278.786012,75,161.530158
278.894279,75,162.445968
279.025393,75,163.391352
278.71075,75,164.363366
278.809229,75,165.353631
278.571605,75,166.308126
280.83106,75,167.524991
278.594331,75,168.509159
278.874437,75,169.481032
278.734301,75,170.450395
278.743465,75,178.925538
278.336817,75,179.815988
278.159529,75,180.679098
278.066439,75,181.717422
278.08089,75,182.715578
278.002568,75,183.761456
277.811692,75,184.862758
278.444274,75,185.875003
278.033801,75,186.829614
278.185075,75,187.750904
278.283478,75,188.750353
278.110174,75,189.780261
278.08028,75,190.787142
278.066088,75,191.747775
278.066047,75,192.688882
278.001221,75,193.629481
278.229865,75,194.560843
278.424456,75,195.503783
278.085374,75,196.488189
278.331282,75,197.545347
278.176494,75,198.583573
278.084232,75,199.604495
278.082392,75,200.543864
278.202458,75,201.506435
278.272093,75,202.483354
278.057887,75,203.601311
278.185902,75,204.651991
278.379152,75,213.54967
278.864565,75,214.44768
278.93975,75,215.375597
279.04148,75,216.363329
279.09073,75,217.349275
278.944192,75,218.387725
278.785325,75,219.550192
279.036807,75,220.653269
278.771208,75,221.85492
278.664762,75,223.022806
279.007005,75,224.132106
278.980371,75,225.228962
278.721426,75,226.281643
278.950268,75,227.320268
279.040746,75,228.368111
278.798701,75,229.432201
278.806395,75,230.50303
278.752922,75,231.544005
279.387835,75,232.695056
278.672528,75,233.855059
279.334179,75,234.965498
278.945308,75,236.191377
278.812358,75,237.384289
278.907941,75,238.57359
278.835989,75,239.849294
278.671439,75,241.087718
278.782787,75,242.337472
278.805191,75,251.551603
278.654864,75,252.624381
278.882483,75,253.821497
278.795747,75,255.14445
278.613536,75,256.315557
278.922475,75,257.638511
278.729193,75,258.883719
278.604027,75,260.128853
278.476992,75,261.338129
278.915575,75,262.694364
278.704662,75,263.953066
278.713128,75,265.363066
278.483496,75,266.654575
278.736862,75,267.96662
278.368872,75,269.314151
278.93977,75,270.698897
279.173052,75,272.020946
278.516878,75,273.321202
278.387223,75,274.542164
279.088344,75,275.699834
278.4574,75,276.957505
278.591234,75,278.31028
278.472624,75,279.6279
279.1703,75,280.886455
279.195676,75,282.171236
279.147095,75,283.663769
278.509007,75,285.016803
278.588718,75,286.338872
